Tabla formato 1 (ver hoja 2),,,,,,,,,,
,,,,,,,,,,
ID,Nombre,Objetivo,Prioridad,Precondiciones,Pasos,Datos de entrada,Resultado esperado,Resultado final,Notas,Estado
CT-RF007-01,Cancelación de alquiler,Validar que al cancelar una reserva se libere la fecha en calendario,Alta,Reserva activa en BD,1- Ingresar al panel admin 2- Seleccionar reserva 3- Cancelar 4- Revisar calendario,-,La fecha vuelve a estar disponible,-,-,Pending
CT-RF008-01,Acceso a FAQ,Validar que la FAQ esté accesible desde el menú principal,Media,-,"1- Abrir menú principal 2- Seleccionar ""FAQ""",-,Se carga la página FAQ con al menos 10 preguntas,-,-,Pending
CT-RNF001-01,Tiempo de carga en escritorio por LAN,Validar que las páginas carguen en menos de 2 segundos en desktop con conexión LAN,Alta,Herramienta de medición lista,1- Medir Home/Catálogo/Detalle con Lighthouse,-,Promedio de carga <2s,-,-,Pending
CT-RNF001-02,Tiempo de carga en escritorio por WiFi,Validar que las páginas carguen en menos de 3 segundos en desktop con conexión WiFi,Alta,Conexión WiFi estable y herramienta de medición lista,1- Medir Catálogo y Formulario con Lighthouse,-,Promedio de carga ≤3s,-,-,Pending
CT-RNF002-01,Prueba de SQL Injection,Verificar que los campos no sean vulnerables a inyecciones SQL,Alta,-,1- Ingresar payload en búsqueda 2- Enviar, OR 1=1 --,El sistema no ejecuta la inyección ni expone datos,-,-,Pending
CT-RNF002-02,Prueba de XSS,Verificar que no se ejecute código malicioso en campos de texto,Alta,-,1- Ingresar <script>alert(1)</script> en un campo 2- Enviar,<script>alert(1)</script>,El sistema escapa el input y no ejecuta el script,-,-,Pending
CT-RNF002-03,Prueba de CSRF,Validar que las acciones críticas requieran token válido,Alta,Sesión admin activa,1- Enviar petición de cancelación sin token válido,-,Acción rechazada (403 o error controlado),-,-,Pending
CT-RNF003-01,Flujo de alquiler en 3 pasos,Validar que el flujo de programación de alquiler no supere 3 pasos,Alta,-,1- Seleccionar fecha 2- Seleccionar artículo/talla 3- Confirmar,-,Flujo completo en máximo 3 interacciones,-,-,Pending
CT-RNF004-01,Responsive en distintos dispositivos,Validar que no exista scroll horizontal y se reordene el contenido,Media,-,"1- Probar en 1366x768, 768x1024, 360x640",-,La vista se adapta sin scroll horizontal,-,-,Pending
CT-RNF004-02,Legibilidad,Validar que la fuente sea ≥14px y contraste mínimo 4.5:1,Media,-,1- Revisar textos 2- Medir contraste,-,Texto legible y con contraste adecuado,-,-,Pending
CT-RNF005-01,Compatibilidad navegadores,"Validar correcto funcionamiento en Chrome, Firefox, Edge (últimas 2 versiones)",Alta,-,1- Ejecutar smoke en cada navegador,-,Sin errores de layout ni fallas funcionales,-,-,Pending
CT-UI001-01,Validación de tipografía y colores,"Verificar que se use paleta neutra con acento metálico, serif en títulos y sans-serif en cuerpo",Baja,-,1- Revisar home y catálogo,-,Se cumple con tipografía y colores definidos,-,-,Pending
CT-UI002-01,Resolución de imágenes,Verificar que cada artículo tenga ≥3 imágenes en resolución mínima 1080x1350,Media,Artículo publicado con imágenes,1- Abrir detalle de artículo 2- Revisar imágenes,-,≥3 imágenes en resolución válida,-,-,Pending
CT-UI003-01,Navegación en ≤2 clics,Validar que todas las secciones principales sean accesibles desde home en ≤2 pasos,Media,-,"1- Desde home acceder a catálogo, FAQ, formulario y contacto",-,Cada sección accesible en máximo 2 clics,-,-,Pending
CT-UI003-02,Menú desplegable,Validar que el menú sea accesible en todas las páginas,Media,Viewport,1- Abrir cualquier página 2- Abrir menú,-,Menú accesible en todas las páginas,-,-,Pending
